clyde_32bit-shadow_128bit-haswell-bench | 16 bytes, ns/iter: 723.2, ns/byte: 45.2
clyde_32bit-shadow_128bit-haswell-bench | 32 bytes, ns/iter: 690.4, ns/byte: 21.58
clyde_32bit-shadow_128bit-haswell-bench | 64 bytes, ns/iter: 896.4, ns/byte: 14.01
clyde_32bit-shadow_128bit-haswell-bench | 128 bytes, ns/iter: 1308, ns/byte: 10.22
clyde_32bit-shadow_128bit-haswell-bench | 256 bytes, ns/iter: 2131, ns/byte: 8.326
clyde_32bit-shadow_128bit-haswell-bench | 512 bytes, ns/iter: 3790, ns/byte: 7.402
clyde_32bit-shadow_128bit-haswell-bench | 1024 bytes, ns/iter: 7080, ns/byte: 6.914
clyde_32bit-shadow_128bit-haswell-bench | 2048 bytes, ns/iter: 1.367e+04, ns/byte: 6.675
clyde_32bit-shadow_128bit-haswell-bench | 4096 bytes, ns/iter: 2.684e+04, ns/byte: 6.552
clyde_32bit-shadow_128bit-haswell-bench | 8192 bytes, ns/iter: 5.316e+04, ns/byte: 6.49
clyde_32bit-shadow_128bit-haswell-bench | 16384 bytes, ns/iter: 1.059e+05, ns/byte: 6.466
clyde_32bit-shadow_128bit-haswell-bench | 32768 bytes, ns/iter: 2.114e+05, ns/byte: 6.45
clyde_32bit-shadow_128bit-haswell-bench | 65536 bytes, ns/iter: 4.222e+05, ns/byte: 6.443
clyde_32bit-shadow_128bit-haswell-bench | 131072 bytes, ns/iter: 8.441e+05, ns/byte: 6.44
clyde_32bit-shadow_128bit-haswell-bench | 262144 bytes, ns/iter: 1.688e+06, ns/byte: 6.438
clyde_32bit-shadow_128bit-haswell-bench | 524288 bytes, ns/iter: 3.375e+06, ns/byte: 6.438
clyde_32bit-shadow_128bit-skylake-avx512-bench | 16 bytes, ns/iter: 631.1, ns/byte: 39.45
clyde_32bit-shadow_128bit-skylake-avx512-bench | 32 bytes, ns/iter: 599.9, ns/byte: 18.75
clyde_32bit-shadow_128bit-skylake-avx512-bench | 64 bytes, ns/iter: 753.5, ns/byte: 11.77
clyde_32bit-shadow_128bit-skylake-avx512-bench | 128 bytes, ns/iter: 1059, ns/byte: 8.276
clyde_32bit-shadow_128bit-skylake-avx512-bench | 256 bytes, ns/iter: 1676, ns/byte: 6.548
clyde_32bit-shadow_128bit-skylake-avx512-bench | 512 bytes, ns/iter: 2919, ns/byte: 5.702
clyde_32bit-shadow_128bit-skylake-avx512-bench | 1024 bytes, ns/iter: 5372, ns/byte: 5.246
clyde_32bit-shadow_128bit-skylake-avx512-bench | 2048 bytes, ns/iter: 1.03e+04, ns/byte: 5.031
clyde_32bit-shadow_128bit-skylake-avx512-bench | 4096 bytes, ns/iter: 2.015e+04, ns/byte: 4.919
clyde_32bit-shadow_128bit-skylake-avx512-bench | 8192 bytes, ns/iter: 3.985e+04, ns/byte: 4.864
clyde_32bit-shadow_128bit-skylake-avx512-bench | 16384 bytes, ns/iter: 7.916e+04, ns/byte: 4.831
clyde_32bit-shadow_128bit-skylake-avx512-bench | 32768 bytes, ns/iter: 1.582e+05, ns/byte: 4.827
clyde_32bit-shadow_128bit-skylake-avx512-bench | 65536 bytes, ns/iter: 3.155e+05, ns/byte: 4.814
clyde_32bit-shadow_128bit-skylake-avx512-bench | 131072 bytes, ns/iter: 6.307e+05, ns/byte: 4.812
clyde_32bit-shadow_128bit-skylake-avx512-bench | 262144 bytes, ns/iter: 1.261e+06, ns/byte: 4.808
clyde_32bit-shadow_128bit-skylake-avx512-bench | 524288 bytes, ns/iter: 2.523e+06, ns/byte: 4.812
clyde_32bit-shadow_128bit-x86-64-bench | 16 bytes, ns/iter: 761, ns/byte: 47.56
